Time (s),Pressure 1 (mmHg),Pressure 2 (mmHg),Flow Rate (mL/s),Heart Rate (BPM),Ventricle Temperature 1 (°C),Ventricle Temperature 2 (°C),Atrium Temperature (°C)
20.3468,58.27,20.39,128.0,21.0,26.31,25.12,24.5
20.4902,53.22,22.6,128.0,5.0,26.31,25.12,24.5
20.5312,51.01,25.44,129.0,2.0,26.31,25.12,24.5
22.0343,48.17,25.76,128.0,11.0,26.31,25.12,24.5
22.3087,45.96,27.97,128.0,4.0,26.31,25.12,24.5
23.0623,46.59,31.75,128.0,9.0,26.31,25.12,24.5
23.3982,45.01,33.65,128.0,5.0,26.31,25.12,24.5
24.0003,45.01,35.86,128.0,7.0,26.31,25.12,24.5
24.4303,44.06,37.75,128.0,6.0,26.31,25.12,24.5
24.9341,43.43,39.01,128.0,5.0,26.31,25.12,24.5
25.5362,43.43,40.59,128.0,6.0,26.31,25.12,24.5
26.04,42.8,41.85,128.0,6.0,26.31,25.12,24.5
26.0892,72.16,78.78,129.0,0.0,26.31,25.12,24.5
26.1014,65.84,77.52,129.0,-6.0,26.31,25.12,24.5
26.593,63.32,73.1,129.0,6.0,26.31,25.12,24.5
27.0967,58.58,23.8,128.0,7.0,26.31,25.12,24.5
27.5269,57.95,24.43,120.0,11.0,26.31,25.12,24.5
27.8013,54.8,25.06,121.0,10.0,26.31,25.12,24.5
28.1044,52.27,25.38,121.0,6.0,26.31,25.12,24.5
28.6081,52.27,24.75,119.0,11.0,26.31,25.12,24.5
28.8825,51.01,20.01,120.0,10.0,26.31,25.12,24.5
29.1856,49.11,25.38,115.0,6.0,26.31,25.12,24.5
29.2266,45.64,31.06,111.0,1.0,26.31,25.12,24.5
32.2289,51.01,11.55,120.0,19.0,26.31,25.12,24.5
32.3886,48.17,14.71,119.0,6.0,26.31,25.12,24.5
32.8924,47.22,20.07,119.0,6.0,26.31,25.12,24.5
33.3922,46.27,13.07,120.0,7.0,26.31,25.12,24.5
33.8262,45.64,10.23,120.0,6.0,26.31,25.12,24.5
34.3259,45.01,6.12,119.0,7.0,26.31,25.12,24.5
34.7561,44.38,2.4,120.0,6.0,26.31,25.12,24.5
35.2598,43.75,9.03,120.0,6.0,26.31,25.12,24.5
35.7636,43.12,1.45,119.0,6.0,26.31,25.12,24.5
35.8087,79.73,32.32,128.0,0.0,26.31,25.12,24.5
35.821,72.47,32.32,128.0,-6.0,26.31,25.12,24.5
36.3165,67.42,23.17,128.0,7.0,26.31,25.12,24.5
36.7466,64.26,24.43,128.0,8.0,26.31,25.12,24.5
37.1235,61.42,16.54,128.0,8.0,26.31,25.12,24.5
37.5003,58.9,13.7,128.0,7.0,26.31,25.12,24.5
37.9343,56.37,14.65,128.0,8.0,26.31,25.12,24.5
38.3112,55.43,18.75,128.0,8.0,26.31,25.12,24.5
38.688,53.53,17.49,128.0,9.0,26.31,25.12,24.5
39.0238,52.27,17.49,128.0,8.0,26.31,25.12,24.5
39.0648,47.22,13.38,129.0,-1.0,26.25,25.06,24.5
42.0672,54.16,1.77,128.0,15.0,26.25,25.06,24.5
42.2718,49.43,4.29,128.0,9.0,26.25,25.06,24.5
42.6078,48.48,1.14,128.0,0.0,26.25,25.06,24.5
42.62,43.75,4.29,128.0,-7.0,26.25,25.06,24.5
43.0379,45.33,1.45,128.0,8.0,26.25,25.06,24.5
43.4186,45.64,0.76,128.0,6.0,26.25,25.06,24.5
43.9185,42.17,15.59,128.0,6.0,26.25,25.06,24.5
44.4222,44.06,10.54,128.0,5.0,26.25,25.06,24.5
45.0243,42.49,14.96,128.0,9.0,26.25,25.06,24.5
45.0735,78.78,32.32,129.0,0.0,26.25,25.06,24.5
45.0858,71.84,32.32,129.0,-6.0,26.25,25.06,24.5
45.5812,66.47,32.32,129.0,6.0,26.25,25.06,24.5
46.081,63.95,32.32,129.0,40.0,26.25,25.06,24.5
46.1589,56.69,32.32,129.0,13.0,26.25,25.06,24.5
46.3923,51.64,32.32,129.0,4.0,26.25,25.06,24.5
47.1459,54.8,32.32,129.0,38.0,26.25,25.06,24.5
47.2278,51.32,32.32,129.0,14.0,26.25,25.06,24.5
47.4409,48.17,32.32,129.0,5.0,26.25,25.06,24.5
48.0469,47.54,32.32,129.0,9.0,26.25,25.06,24.5
48.088,99.93,30.74,129.0,57.0,26.25,25.06,24.5
48.1413,35.23,23.8,128.0,-14.0,26.25,25.06,24.5
48.3583,33.02,23.17,128.0,-8.0,26.25,25.06,24.5
48.7352,94.88,23.17,129.0,57.0,26.25,25.06,24.5
48.7924,29.23,23.17,129.0,-14.0,26.25,25.06,24.5
49.0095,27.33,20.01,128.0,-10.0,26.25,25.06,24.5
49.3125,25.13,23.48,129.0,-13.0,26.25,25.06,24.5
49.5421,22.92,22.85,128.0,-14.0,26.25,25.06,24.5
49.7592,21.97,23.48,128.0,-11.0,26.25,25.06,24.5
50.0336,86.99,23.48,128.0,84.0,26.25,25.06,24.5
50.0867,102.14,32.32,128.0,84.0,26.25,25.06,24.5
50.1235,53.85,27.59,128.0,10.0,26.25,25.06,24.5
50.4266,39.01,32.32,128.0,-3.0,26.25,25.06,24.5
51.4261,42.8,25.38,129.0,2.0,26.25,25.06,24.5
52.9293,56.06,23.17,128.0,10.0,26.25,25.06,24.5
53.2323,102.14,32.32,129.0,86.0,26.25,25.06,24.5
53.2692,70.58,27.9,129.0,36.0,26.25,25.06,24.5
53.3552,37.75,32.32,129.0,-11.0,26.25,25.06,24.5
53.6296,56.06,20.96,129.0,20.0,26.25,25.06,24.5
53.7851,97.72,19.7,129.0,80.0,26.25,25.06,24.5
54.4447,48.8,23.17,129.0,8.0,26.25,25.06,24.5
54.8215,40.28,7.7,129.0,0.0,26.25,25.06,24.5
54.8338,35.23,7.7,129.0,-6.0,26.25,25.06,24.5
55.3293,44.38,8.65,129.0,9.0,26.25,25.06,24.5
55.6652,90.15,8.96,129.0,73.0,26.25,25.06,24.5
55.7102,35.54,9.28,129.0,-13.0,26.25,25.06,24.5
55.9396,34.59,7.07,129.0,-3.0,26.25,25.06,24.5
56.9431,27.02,22.22,129.0,-4.0,26.25,25.06,24.5
57.6968,74.37,12.12,129.0,51.0,26.25,25.06,24.5
57.7581,27.33,21.27,129.0,-12.0,26.25,25.06,24.5
57.8073,76.58,32.32,130.0,-1.0,26.25,25.06,24.5
60.8137,115.4,32.32,130.0,57.0,26.25,25.06,24.5
60.8669,80.68,32.32,130.0,9.0,26.25,25.06,24.5
61.2028,56.06,32.32,130.0,-3.0,26.25,25.06,24.5
62.2062,55.43,32.32,130.0,7.0,26.25,25.06,24.5
62.6363,52.27,32.32,130.0,4.0,26.25,25.06,24.5
63.3899,51.32,32.32,130.0,7.0,26.25,25.06,24.5
63.82,48.48,32.32,130.0,4.0,26.25,25.06,24.5
64.5697,48.17,32.32,130.0,6.0,26.25,25.06,24.5
65.0734,71.52,32.32,130.0,24.0,26.25,25.06,24.5
65.1184,41.85,32.01,131.0,-13.0,26.25,25.06,24.5
65.3479,33.02,25.69,130.0,-9.0,26.25,25.06,24.5
65.6837,30.81,25.69,130.0,-6.0,26.25,25.06,24.5
66.1875,31.75,25.69,130.0,0.0,26.25,25.06,24.5
66.1997,47.85,25.69,130.0,9.0,26.25,25.06,24.5
66.5274,89.2,25.69,130.0,49.0,26.25,25.06,24.5
66.5889,34.28,25.69,130.0,-6.0,26.25,25.06,24.5
67.0926,87.94,25.69,130.0,50.0,26.25,25.06,24.5
67.1541,24.81,25.69,130.0,-13.0,26.25,25.06,24.5
67.3875,23.55,25.69,129.0,-7.0,26.25,25.06,24.5
67.4368,54.16,32.32,130.0,-1.0,26.25,25.06,24.5
70.4429,112.56,32.32,130.0,69.0,26.25,25.06,24.5
70.4881,51.01,32.32,130.0,-11.0,26.25,25.06,24.5
70.7625,62.37,32.32,130.0,13.0,26.25,25.06,24.5
70.9958,69.0,32.32,130.0,21.0,26.25,25.06,24.5
71.1393,82.57,32.32,130.0,28.0,26.25,25.06,24.5
71.2498,39.96,32.32,130.0,-9.0,26.25,25.06,24.5
71.5817,39.64,32.32,130.0,0.0,26.25,25.06,24.5
71.594,40.91,32.32,130.0,-2.0,26.25,25.06,24.5
73.089,99.62,32.32,130.0,64.0,26.25,25.06,24.5
73.1299,38.07,32.01,131.0,-13.0,26.19,25.0,24.44
73.3634,30.18,26.01,130.0,-9.0,26.19,25.0,24.44
73.6992,28.6,25.69,130.0,-4.0,26.19,25.0,24.44
