Time (s),Pressure 1 (mmHg),Pressure 2 (mmHg),Flow Rate (mL/s),Heart Rate (BPM),Ventricle Temperature 1 (°C),Ventricle Temperature 2 (°C),Atrium Temperature (°C)
3.9227,62.06,31.69,131.0,78.0,26.37,25.19,24.56
3.9663,55.74,23.48,129.0,34.0,26.37,25.19,24.56
4.0536,52.27,23.48,129.0,12.0,26.37,25.19,24.56
4.3076,47.85,23.48,129.0,4.0,26.37,25.19,24.56
5.0612,47.22,23.48,130.0,6.0,26.37,25.19,24.56
5.5649,47.54,23.48,129.0,6.0,26.37,25.19,24.56
6.0647,48.17,23.48,129.0,7.0,26.37,25.19,24.56
6.4948,45.64,23.48,129.0,4.0,26.37,25.19,24.56
7.2483,48.17,23.48,129.0,8.0,26.37,25.19,24.56
7.6252,45.64,23.48,129.0,0.0,26.37,25.19,24.56
7.6744,79.1,32.32,130.0,0.0,26.37,25.19,24.56
7.6867,72.16,32.32,129.0,-4.0,26.37,25.19,24.56
8.4321,67.74,32.32,130.0,11.0,26.37,25.19,24.56
8.7064,63.63,32.32,130.0,6.0,26.37,25.19,24.56
9.2102,58.9,32.32,130.0,8.0,26.37,25.19,24.56
9.5871,59.53,32.32,130.0,7.0,26.37,25.19,24.56
10.0171,58.9,32.32,129.0,9.0,26.37,25.19,24.56
10.353,56.06,32.32,130.0,7.0,26.37,25.19,24.56
10.7832,55.74,32.32,130.0,10.0,26.37,25.19,24.56
11.0862,52.9,32.32,130.0,6.0,26.37,25.19,24.56
11.7497,54.48,31.69,131.0,13.0,26.31,25.12,24.5
11.9831,46.59,23.48,129.0,4.0,26.31,25.12,24.5
12.7328,47.22,23.48,129.0,8.0,26.31,25.12,24.5
13.1135,45.33,23.48,129.0,4.0,26.31,25.12,24.5
13.8632,49.75,23.48,129.0,9.0,26.31,25.12,24.5
14.1991,46.9,23.48,129.0,5.0,26.31,25.12,24.5
14.8012,44.7,23.48,129.0,5.0,26.31,25.12,24.5
15.4072,41.85,23.48,129.0,6.0,26.31,25.12,24.5
15.907,38.7,23.48,129.0,4.0,26.31,25.12,24.5
16.6606,44.06,23.48,129.0,10.0,26.31,25.12,24.5
16.7098,80.05,32.32,130.0,0.0,26.31,25.12,24.5
16.7221,74.05,32.32,129.0,-5.0,26.31,25.12,24.5
17.316,69.32,32.32,130.0,4.0,26.31,25.12,24.5
18.0696,65.53,32.32,129.0,17.0,26.31,25.12,24.5
18.2497,62.37,21.91,128.0,13.0,26.31,25.12,24.5
18.4792,59.53,11.49,129.0,7.0,26.31,25.12,24.5
18.9093,57.32,0.44,128.0,7.0,26.31,25.12,24.5
19.3433,54.48,7.76,128.0,3.0,26.31,25.12,24.5
